GEOID,bike_km,bike_density,bike_score
53033029405,0.0,0.0,0.0
53033028403,0.0,0.0,0.0
53033029407,0.0,0.0,0.0
53033029408,0.0,0.0,0.0
53033029504,0.0,0.0,0.0
53033029901,0.0,0.0,0.0
53033029902,0.0,0.0,0.0
53033030404,0.0,0.0,0.0
53033030501,0.0,0.0,0.0
53033030503,0.0,0.0,0.0
53033030504,0.0,0.0,0.0
53033030600,0.0,0.0,0.0
53033030801,0.0,0.0,0.0
53033030802,0.0,0.0,0.0
53033030901,0.0,0.0,0.0
53033030902,0.0,0.0,0.0
53033030201,0.0,0.0,0.0
53033030304,0.0,0.0,0.0
53033030305,0.0,0.0,0.0
53033030306,0.0,0.0,0.0
53033030003,0.0,0.0,0.0
53033030309,0.0,0.0,0.0
53033030310,0.0,0.0,0.0
53033030311,0.0,0.0,0.0
53033030312,0.0,0.0,0.0
53033024100,0.0,0.0,0.0
53033024400,0.0,0.0,0.0
53033024500,0.0,0.0,0.0
53033024601,0.0,0.0,0.0
53033024701,0.0,0.0,0.0
53033025001,0.0,0.0,0.0
53033025101,0.0,0.0,0.0
53033030403,0.0,0.0,0.0
53033028700,0.0,0.0,0.0
53033026300,0.0,0.0,0.0
53033026400,0.0,0.0,0.0
53033028801,0.0,0.0,0.0
53033028802,0.0,0.0,0.0
53033028901,0.0,0.0,0.0
53033025702,0.0,0.0,0.0
53033025804,0.0,0.0,0.0
53033026001,0.0,0.0,0.0
53033028902,0.0,0.0,0.0
53033029001,0.0,0.0,0.0
53033029003,0.0,0.0,0.0
53033029004,0.0,0.0,0.0
53033029203,0.0,0.0,0.0
53033032003,0.0,0.0,0.0
53033032800,0.0,0.0,0.0
53033032318,0.0,0.0,0.0
53033031908,0.0,0.0,0.0
53033032211,0.0,0.0,0.0
53033032307,0.0,0.0,0.0
53033032317,0.0,0.0,0.0
53033032322,0.0,0.0,0.0
53033032323,0.0,0.0,0.0
53033032325,0.0,0.0,0.0
53033008002,5.249137668302123,22.402127849126348,100.0
53033032324,0.0,0.0,0.0
53033031400,0.0,0.0,0.0
53033031704,0.0,0.0,0.0
53033032005,0.0,0.0,0.0
53033032008,0.0,0.0,0.0
53033031909,0.0,0.0,0.0
53033001300,0.6141557320669697,0.5200826792000974,2.3215771408088806
53033006000,8.329626716857994,5.547875168122219,24.764947354492392
53033006600,7.374984057970189,3.785444279261386,16.89769965047768
53033006800,2.5487495403184384,3.5492640290265345,15.843423682473764
53033006900,0.0,0.0,0.0
53033030308,0.0,0.0,0.0
53033031301,0.0,0.0,0.0
53033031906,0.0,0.0,0.0
53033032104,0.0,0.0,0.0
53033032315,0.0,0.0,0.0
53033032401,0.0,0.0,0.0
53033000402,4.352621453812351,2.419551504340413,10.800543236944218
53033000500,0.0,0.0,0.0
53033001100,0.0,0.0,0.0
53033001500,2.754524454460767,1.625475615632398,7.255898308319803
53033003400,3.093810290158375,3.930315474752988,17.544384628205147
53033004500,1.747422497192932,2.604224363563539,11.624897336103276
53033008200,1.350583432739954,3.5940080654263142,16.043154871855066
53033008800,8.430288183266793,8.88724961993126,39.671452996719914
53033003500,5.040909178549486,3.9236622951577056,17.514685754776295
53033004000,3.4392854511101594,0.5922808302699448,2.643859700555378
53033004800,5.4081506611150285,4.143484735210006,18.495942720778626
53033008300,1.7288790959016551,7.265405097954408,32.43176338821648
53033008500,2.0434618060801264,4.531150685857004,20.226429901540417
53033008700,6.9952504265686555,9.55132286622218,42.635784111885904
53033008900,8.955574675941804,2.91893332166553,13.029714593738312
53033009000,11.985922435192037,14.00435000323872,62.513481297647665
53033009100,5.446684458416658,13.264606588305035,59.21136901654784
53033001000,0.6331025656142208,0.6634870687711385,2.961714499799239
53033003100,9.240196856453048,3.4103294197894574,15.223238804622996
53033005801,8.307601256733859,3.9890799256753673,17.80670100867644
53033990100,0.0,0.0,0.0
53033032326,0.0,0.0,0.0
53033032327,0.0,0.0,0.0
53033025602,0.0,0.0,0.0
53033029101,0.0,0.0,0.0
53033031605,0.0,0.0,0.0
53033007600,3.0001086519892795,5.246043072622847,23.417610630355522
53033005305,1.949788707821679,9.155325918650663,40.86810851321745
53033024902,0.0,0.0,0.0
53033032002,0.0,0.0,0.0
53033032102,0.0,0.0,0.0
53033032500,0.0,0.0,0.0
53033000300,1.3707926534499069,1.1319378742080046,5.052814097979307
53033000700,3.3083097376134254,2.5557859750836074,11.408675070048222
53033000800,1.0939335588593166,0.9579665268385289,4.276230067474989
53033001400,1.5402989735910886,0.6509711313952214,2.9058450865889887
53033001600,1.9069965239720597,0.8147911984241617,3.6371152058037084
53033002200,4.7886072895492,1.209542067989942,5.39922848461519
53033002800,1.951354398883187,1.9744830458334541,8.813819201154395
53033006500,5.6859256539760965,4.954547961976235,22.11641677676371
53033003900,1.4573605146796196,1.496569764868764,6.680480421091464
53033007700,1.2699268181797656,1.1999404354003818,5.35636812485729
53033025803,0.0,0.0,0.0
53033003000,3.027115279794502,2.0271953896962898,9.049119812854507
53033021100,0.0010798029537082445,0.0004121827006326264,0.0018399265614792968
53033031204,0.0,0.0,0.0
53033007800,4.8401417736546515,0.8446058108715476,3.7702035117368817
53033004600,12.500016871409052,4.8344955440623325,21.58051938914754
53033005000,3.83858991658955,5.068227340898983,22.623865799858102
53033005700,5.105866712605301,0.685218274032048,3.0587195941691343
53033032328,0.0,0.0,0.0
53033006400,5.698375459311592,6.3059516315777255,28.148895828320384
53033006100,7.766199906305327,4.130539113932562,18.438155258066914
53033006200,23.358275146730982,8.726249023802394,38.952768605606835
53033006300,3.065579011976314,0.49894446855424474,2.2272190923760973
53033032320,0.0,0.0,0.0
53033030700,0.0,0.0,0.0
53033032402,0.0,0.0,0.0
53033029306,0.0,0.0,0.0
53033024901,0.0,0.0,0.0
53033031800,0.0,0.0,0.0
53033029602,0.0,0.0,0.0
53033024800,0.0,0.0,0.0
53033031904,0.0,0.0,0.0
53033024200,0.0,0.0,0.0
53033026600,0.0,0.0,0.0
53033032207,0.0,0.0,0.0
53033032316,0.0,0.0,0.0
53033022702,0.0,0.0,0.0
53033031601,0.0,0.0,0.0
53033011102,3.8772438100104485,1.5847050762804473,7.073904260135934
53033002700,2.820682177443043,1.7797806645748262,7.944694702937493
53033031502,0.0,0.0,0.0
53033029307,0.0,0.0,0.0
53033010402,7.550539570590482,4.332227283984735,19.338463351166375
53033010702,5.233770084958221,6.708957959747971,29.947860332426462
53033011402,2.697997100110003,2.274510414567303,10.153099874644301
53033011401,4.208467462666111,3.412763693020306,15.234105063610729
53033025806,0.0,0.0,0.0
