GEOID,median_income,total_population,pct_nonwhite,pct_no_vehicle,pct_renter
17031031200,27869.0,5953,73.59314631278346,59.96021597044615,81.61409491332765
17031031300,65617.0,6841,45.09574623593042,32.76519398968378,63.153173357254985
17031031400,87500.0,4771,29.050513519178367,42.520427404148336,51.69704588309239
17031031501,51731.0,4832,69.82615894039735,30.326295585412666,81.47792706333973
17031031502,47674.0,4630,58.7257019438445,58.465818759936404,90.42130365659777
17031031700,82774.0,6139,34.54960091220068,30.436146846564167,60.74678380922498
17031031800,86159.0,1980,46.61616161616161,23.296032553407937,60.223804679552394
17031031900,92208.0,2471,26.62889518413598,37.978339350180505,64.04332129963899
17031032100,71804.0,7122,53.28559393428812,47.79394228476031,77.41473885046506
17031040100,94318.0,3899,37.16337522441652,18.243243243243242,53.58627858627859
17031040201,103409.0,7207,29.0967115304565,14.971392244119516,54.16401780038144
17031040202,62500.0,7577,67.04500461924245,29.11306702775897,60.18957345971564
17031040300,79896.0,3005,53.21131447587355,9.630266552020636,35.94153052450559
17031040401,103750.0,3364,43.311533888228304,18.503937007874015,40.48556430446194
17031040402,94541.0,4224,26.11268939393939,18.805132317562148,73.61668003207699
17031040600,90921.0,2725,31.04587155963303,31.464174454828658,56.54205607476636
17031040700,109205.0,3626,28.43353557639272,29.88777318369758,56.88127584170112
17031040800,110179.0,1535,27.491856677524428,13.914174252275682,59.687906371911566
17031040900,92167.0,2009,23.295171727227483,36.61971830985916,65.40492957746478
17031050100,114063.0,2277,17.391304347826086,26.038062283737023,61.93771626297578
17031050200,124167.0,5373,27.39624046156709,18.908748824082785,42.2859830667921
17031050300,166681.0,2725,48.07339449541285,7.4243813015582045,36.93858845096242
17031050500,144250.0,5134,15.835605765485006,7.626693426994481,42.19769192172605
17031050600,114940.0,2286,20.166229221347333,11.754827875734676,49.20235096557515
17031050700,130699.0,1484,16.71159029649596,12.879884225759769,48.480463096960925
17031050800,157813.0,1411,36.28632175761871,10.655737704918032,50.409836065573764
17031050900,136053.0,1542,24.448767833981844,23.716012084592144,62.53776435045317
17031051000,184464.0,1665,29.429429429429433,6.043165467625899,31.366906474820144
17031051100,181827.0,1864,31.22317596566524,4.341926729986431,45.45454545454545
